MCC,DESCRIPTION
7535,Automotive Paint Shops
7538,Automotive Service Shops (Non-Dealer)
7542,Car Washes
7549,Towing Services
7622,Electronics Repair Shops
7623,Air Conditioning and Refrigeration Repair Shops
7629,Electrical and Small Appliance Repairs
7631,"Watch, Clock, and Jewelry Repair Shops"
7641,"Furniture - Reupholstery, Repair, and Refinishing"
7692,Welding Services
7699,Miscellaneous Repair Shops and Related Services
7800,Government Owned Lotteries
7801,Government - Licensed Casinos (Online Gambling)
7802,Government - Licensed Horse/Dog Racing
7829,Motion Picture and Video Tape Production and Distribution
7832,Motion Picture Theaters
7841,Video Tape Rental Stores
7911,"Dance Halls, Studios, and Schools"
7922,Theatrical Producers (except Motion Pictures) and Ticket Agencies
7929,"Bands, Orchestras, and Miscellaneous Entertainers - Not Elsewhere Classified"
7932,Billiard and Pool Establishments
7933,Bowling Alleys
7941,"Commercial Sports, Professional Sports Clubs, Athletic Fields, and Sports Promoters"
7991,Tourist Attractions and Exhibits
7992,Public Golf Courses
7993,Video Amusement Game Supplies
7994,Video Game Arcades and Establishments
7995,"Betting, including Lottery Tickets, Casino Gaming Chips, Off-Track Betting, and Wagers at Race Tracks"
7996,"Amusement Parks, Circuses, Carnivals, and Fortune Tellers"
7997,"Membership Clubs (Sports, Recreation, Athletic), Country Clubs, and Private Golf Courses"
7998,"Aquariums, Seaquariums, and Dolphinariums"
7999,Recreation Services - Not Elsewhere Classified
8011,Doctors and Physicians - Not Elsewhere Classified
8021,Dentists and Orthodontists
8031,Osteopaths
8041,Chiropractors
8042,Optometrists and Ophthalmologists
8043,"Opticians, Optical Goods, and Eyeglasses"
8049,Podiatrists and Chiropodists
8050,Nursing and Personal Care Facilities
8062,Hospitals
8071,Medical and Dental Laboratories
8099,Medical Services and Health Practitioners - Not Elsewhere Classified
8111,Legal Services and Attorneys
8211,Elementary and Secondary Schools
8220,"Colleges, Universities, Professional Schools, and Junior Colleges"
8241,Correspondence Schools
8244,Business and Secretarial Schools
8249,Trade and Vocational Schools
8299,Schools and Educational Services - Not Elsewhere Classified
8351,Child Care Services
8398,Charitable and Social Service Organizations
8641,"Civic, Social, and Fraternal Associations"
8651,Political Organizations
8661,Religious Organizations
8675,Automobile Associations
8699,Membership Organizations - Not Elsewhere Classified
8734,Testing Laboratories (Non-Medical)
8911,"Architectural, Engineering, and Surveying Services"
8912,"Fitments, Ornaments and Gardening"
8931,"Accounting, Auditing, and Bookkeeping Services"
8999,Professional Services - Not Elsewhere Classified
9211,"Court Costs, including Alimony and Child Support"
9222,Fines
9223,Bail and Bond Payments
9311,Tax Payments
9399,Government Services - Not Elsewhere Classified
9400,Embassy Fee Payments
9402,Postal Services Government Only
9950,Internal Sales - Corporate
