MCC,DESCRIPTION,MASTERCARD_ABBREVIATED_AIRLINE_NAME
7399,Business Services: not elsewhere classified,
7512,Automobile Rental Agency: not elsewhere classified,
7513,Truck Rental,
7519,Motor Home and Recreational Vehicle Rental,
7523,Automobile Parking Lots and Garages,
7531,Automotive Body Repair Shops,
7534,Tire Retreading and Repair Shops,
7535,Automotive Paint Shops,
7538,Automotive Service Shops,
7542,Car Washes,
7549,Towing Services,
7622,Electronic Repair Shops,
7623,Air Conditioning and Refrigeration Repair Shops,
7629,"Appliance Repair Shops, Electrical and Small",
7631,"Clock, Jewelry, and Watch Repair Shops",
7641,"Furniture: Reupholstery and Repair, Refinishing",
7692,Welding Repair,
7699,Miscellaneous Repair Shops and Related Services,
7800,Government Owned Lottery (U.S. Region Only),
7801,Internet Gambling (U.S. Region Only),
7802,Government Licensed Horse/Dog Racing (U.S. Region Only),
7829,Motion Picture and Video Tape Production and Distribution,
7832,Motion Picture Theaters,
7841,Video Entertainment Rental Stores,
7911,"Dance Halls, Schools, and Studios",
7922,"Theatrical Producers (except Motion Pictures), Ticket Agencies",
7929,"Bands, Orchestras, and Miscellaneous Entertainers: not elsewhere classified",
7932,Pool and Billiard Establishments,
7933,Bowling Alleys,
7941,"Athletic Fields, Commercial Sports, Professional Sports Clubs, Sports Promoters",
7991,Tourist Attractions and Exhibits,
7992,"Golf Courses, Public",
7993,Video Amusement Game Supplies,
7994,Video Game Arcades/Establishments,
7995,Gambling Transactions,
7996,"Amusement Parks, Carnivals, Circuses, Fortune Tellers",
7997,"Clubs: Country Clubs, Membership (Athletic, Recreation, Sports), Private Golf Courses",
7998,"Aquariums, Dolphinariums, Zoos, and Seaquariums",
7999,Recreation Services: not elsewhere classified,
8011,Doctors: not elsewhere classified,
8021,"Dentists, Orthodontists",
8031,Osteopathic Physicians,
8041,Chiropractors,
8042,"Optometrists, Ophthalmologists",
8043,"Opticians, Optical Goods, and Eyeglasses",
8049,"Chiropodists, Podiatrists",
8050,Nursing and Personal Care Facilities,
8062,Hospitals,
8071,Dental and Medical Laboratories,
8099,"Health Practitioners, Medical Services: not elsewhere classified",
8111,"Attorneys, Legal Services",
8211,"Schools, Elementary and Secondary",
8220,"Colleges, Universities, Professional Schools, and Junior Colleges",
8241,"Schools, Correspondence",
8244,"Schools, Business and Secretarial",
8249,"Schools, Trade and Vocational",
8299,Schools and Educational Services: not elsewhere classified,
8351,Child Care Services,
8398,"Organizations, Charitable and Social Service",
8641,"Associations: Civic, Social, and Fraternal",
8651,"Organizations, Political",
8661,"Organizations, Religious",
8675,Automobile Associations,
8699,"Organizations, Membership: not elsewhere classified",
8734,Testing Laboratories (Non-Medical),
8911,"Architectural, Engineering, and Surveying Services",
8931,"Accounting, Auditing, and Bookkeeping Services",
8999,Professional Services: not elsewhere classified,
9211,Court Costs including Alimony and Child Support,
9222,Fines,
9223,Bail and Bond Payments,
9311,Tax Payments,
9399,Government Services: not elsewhere classified,
9402,Postal Services: Government Only,
9405,Intra-Government Purchases: Government Only,
9406,"Government-owned Lottery (global, excluding U.S. region)",
